N п/п;Название;Адрес, местоположение, кадастровый номер (при наличии);Зарегистрированные права;Примечание
195;Памятный знак в честь 60-летия Победы в Великой Отечественной войне;Ул. 50 лет Октября, 23 (земельный участок с кадастровым номером 63:09:0301138:623);Муниципальная собственность. Бессрочное пользование;
196;"Керамическое панно ""Адмирал Ф. Ушаков""";Ул. Мира, 23 (земельный участок с кадастровым номером 63:09:0301161:15);Общая долевая собственность многоквартирного жилого дома по ул. Мира, 23;
197;Памятный знак указатель улицы В. Жилина - Героя Советского Союза;Пересечение ул. Жилина и ул. Мира;Общая долевая собственность многоквартирного жилого дома;
198;"""Памятник ""Дружба народов"" (в знак российско-армянской дружбы)";Ул. Жилина;;Утверждена схема расположения земельного участка под ул. Жилина. После постановки на государственный кадастровый учет земельный участок будет оформляться в муниципальную собственность
199;Памятник В.И. Ленину;На территории городского Парка культуры и отдыха Центрального района (земельный участок с кадастровым номером 63:09:0305001:523);"Муниципальная собственность. В бессрочном пользовании МБУ ""Парки города""";
200;Памятный знак-указатель улицы И.В. Комзина;Мкр Портовый, на пересечении ул. Комзина и Комсомольского шоссе;Государственная собственность не разграничена;
201;"Монументально-декоративная композиция ""Прометей""";"Фасад здания ДК ""Тольятти"", б-р Ленина, 3 (земельный участок с кадастровым номером 63:09:0301156:6)";Частная собственность;
202;Обозначение дома, в котором жил А.С. Мурысев;Ул. Комзина, 9;;Индивидуальный жилой дом
203;Памятник-бюст И.В. Комзина;Центральный район, Комсомольское шоссе, 1 (земельный участок с кадастровым номером 63:09:0301170:510);Муниципальная собственность. Бессрочное пользование;
204;Памятник А. Любищеву;Мкр Портовый, территория Института экологии Волжского бассейна РАН;Федеральная собственность;
205;Памятник-бюст Героя Социалистического Труда Н.Ф. Семизорова;Центральный район, ул. Белорусская, у здания административного корпуса N 2 мэрии городского округа Тольятти (земельный участок с кадастровым номером 63:09:0301105:722);Муниципальная собственность;
206;"Городская скульптура ""Студент, спешащий на занятия""";Перед зданием главного корпуса Тольяттинского государственного университета (ул. Белорусская, 14) (земельный участок с кадастровым номером 63:09:0301106:2);Федеральная собственность;
