title;address;"CONCAT(pe.phone, ' ')";director;department
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 162  ""Олимпия"" городского округа Тольятти";"445046 г. Тольятти, ул Коммунистическая, 2";24-34-70 ;Пунченко Светлана Аркадьевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад №196 ""Маячок"" городского округа Тольятти ";"445012 г. Тольятти, ул. Коммунистическая, 32";24-62-59  ;Лаврова Светлана Анатольевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 199 ""Муравьишка"" городского округа Тольятти";"445041 г. Тольятти, ул. Гидротехническая, 8"; 97-44-70 ;Панкова Людмила Семеновна;Департамент образования
Муниципальное бюджетное учреждение культуры городского округа Тольятти «Досуговый центр «Русич»;"445015 г. Тольятти, ул. Носова, д.10";41-25-46 41-23-22 41-24-29 77-25-46 ;Бобылева Надежда Александровна;Департамент культуры
Муниципальное бюджетное учреждение искусства городского округа Тольятти «Молодежный драматический театр»;"445008 г. Тольятти, ул. Л.Чайкиной, д.65";75-63-67 49-03-48 24-24-96 24-23-73 24-51-47 ;Коренной Владимир Лукич;Департамент культуры
Муниципальное бюджетное учреждение дополнительного образования Центр развития творчества детей и юношества «Истоки» городского округа Тольятти;"445092, г.Тольятти, пос.Поволжский, ул. 60 лет СССР, д.17 ";57-00-61 ;Кормишин Василий Александрович;Департамент культуры
Муниципальное бюджетное учреждение дополнительного образования детская школа искусств № 1 городского округа Тольятти;"445015 г. Тольятти, ул. Шлюзовая, д.3";45-31-21  ;Лапин Владимир Иванович;Департамент культуры
Муниципальное бюджетное учреждение дополнительного образования детская школа искусств имени М.А. Балакирева городского округа Тольятти;"445012 г. Тольятти, ул. Мурысева, д.89-а";24-34-89  ;Нуждина Ольга Владимировна;Департамент культуры
Муниципальное предприятие г.Тольятти «Управляющая компания № 4»;"445008 г.Тольятти, ул. Л.Чайкиной, д. 52";24-51-73 24-62-91 24-53-42 65-00-04 ;Конкурсный управляющий Саляева Елена Наильевна;Департамент городского хозяйства
Муниципальное предприятие «Тольяттинское пассажирское автотранспортное предприятие № 3»;"445046 г. Тольятти, ул. Громовой, д. 51";"97-56-67, 97-52-67  ";Башмаков Олег Михайлович;Департамент дорожного хозяйства и транспорта
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 1 имени Виктора Носова""";"445054 г. Тольятти, ул. Мира, 121";26-81-86  ;Афанасьева Любовь Михайловна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 2 имени Героя Социалистического Труда И.В. Комзина""";"445015 г. Тольятти, ул. Севастопольская, 1";45-21-91  ;Тихонова Надежда Федоровна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 3"" ";"445007 г. Тольятти, ул. 50 лет Октября, 61";22-06-68 22-36-27  ;Кутепова Ольга Евгеньевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 4 имени Н.В. Абрамова""";"445008 г. Тольятти, ул. М. Горького, 88";25-12-87 22-09-54 22-54-74 ;Гашнева Ирина Владимировна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 5 имени генерала-майора М.Ф. Федорова"" ";"445019 г. Тольятти, ул. М. Горького, 39";22-04-60  ;Матвеева Юлия Михайловна;Департамент образования
Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти «Гимназия № 9 имени Александра Николаевича Наумова»;"445023 г. Тольятти, ул. Баныкина, 22";26-04-88 26-23-90 ;Бакулина Татьяна Николаевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 10"" ";"445020 г. Тольятти, ул. Ленинградская, 33 а";40 33 16 ;Жилкина Елена Александровна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 13 имени Бориса Борисовича Левицкого""";"445018 г. Тольятти, Молодежный бульвар, 8";25-11-65 22-38-84 95-00-35 ;И.о. директора Иванов Валерий Владимирович;Департамент образования
