№ п/п;Номер в реестре;Кадастровый номер;Вид объекта;Наименование;Адрес;Площадь (текущая);Вид права
1529;П1300000013203;63:09:0301166:4215;Нежилое помещение;Нежилое помещение ТП-180 (трансформаторная подстанция № 180);Самарская область, Центральный район, г. Тольятти, ул. Толстого, д. 20, стр. В;51,1;Казна
1530;П1300000014223;63:09:0101180:10710;Нежилое помещение;Нежилое помещение: 3 этаж, поз. № 6;Самарская область, Автозаводский район, г. Тольятти, б-р Приморский, д. 31;16,8;Казна
1531;П1300000012395;63:09:0101168:5555;Нежилое помещение;Нежилое помещение: на 1 этаже поз. №№ 11,11а,11б,13,14,15,16,17;Самарская область, Автозаводский район, г. Тольятти, ул. Маршала Жукова, д. 12;48,9;Казна
1532;П1300000009786;63:09:0202054:750;Нежилое помещение;Нежилое помещение (МОП): 1 этаж, поз. № 75, 76, 81;Самарская область, Комсомольский район, г. Тольятти, ул. Никонова, д. 22;95,2;Казна
1533;П1300000011042;63:09:0301115:4049;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 10-16;Самарская область, Центральный район, г. Тольятти, ул. Голосова, д. 113;43,3;Казна
1534;П1300000011380;63:09:0301104:813;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 3;Самарская область, Центральный район, г. Тольятти, ул. Республиканская, д. 12;24,8;Казна
1535;П1300000011238;63:09:0101158:4582;Нежилое помещение;Нежилое помещение: на + 1 этаже № 1, 2, 3, 4, 5, 6, 7, 8;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 24;65,2;Казна
1536;П1300000011509;63:09:0301115:3832;Нежилое помещение;Нежилое помещение Б/Н (3020) 3 этаж, поз. № 20;Самарская область, Центральный район, г. Тольятти, ул. Голосова, д. 99, нежилое помещение Б/Н (3020);18,6;Казна
1537;П1300000010821;63:09:0301105:786;Нежилое помещение;Нежилое помещение 5001: 5 этаж, поз. №№ 39, 40, 41, 42, 43;Самарская область, Центральный район, г. Тольятти, ул. Белорусская, д. 23, квартал помещ. 5001;63,8;Казна
1538;П1300000010426;63:09:0301115:4027;Нежилое помещение;ЦТП-11, на + 1 эт. № 1, 2, 3;Самарская область, Центральный район, г. Тольятти, ул. Голосова, д. 95, стр. А;151,4;Казна
1539;П1300000011090;63:09:0101151:6589;Нежилое помещение;3 этаж, поз. № 1,5,5а,14,14а,14б;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 57;63,5;Казна
1540;П1300000014309;63:09:0204068:834;Нежилое помещение;Защитное сооружение гражданской обороны № 455-63: нежилое помещение, -1 этаж комнаты №№ 1-18;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 51;273,4;Казна
1541;П1300000014016;63:09:0201060:16273;Нежилое помещение;Нежилое помещение 1109: 1 этаж, поз. №№ 17, 18, 19а;Самарская область, Комсомольский район, г. Тольятти, ул. Железнодорожная, д. 45, помещение № 1109;6,9;Казна
1542;П1300000011082;63:09:0101151:5898;Нежилое помещение;МОП,  3 этаж, поз.  №  2, 8, 10, 11, 12, 13, 19, 24, 25, 26;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 57;180,4;Казна
1543;П1300000011080;63:09:0101151:6351;Нежилое помещение;МОП, 1 этаж, поз. №  40;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 57;4,4;Казна
